type,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post13,post14,post15,post16,post17,post18,post19,post20,post21,post22,post23,post24,post25,post26,post27,post28,post29,post30,post31,post32,post33,post34,post35,post36,post37,post38,post39,post40,post41,post42,post43,post44,post45,post46,post47,post48,post49,post50
ESTJ,ya come learn best friend actually waiting calm instead standing ignoring respond know time cool,ya actually got low self esteem thing right away really close guy friend problem really long time dont run away guy feel,ya talked since yelled calling stalker really dont think could date anymore really want friend think think,oh wow totally want give hug dont know well actually mean similar past problem like awful father moving around ton dad also,thanks guy support fair sex thing completely idea weird situation connected fast like known year,hahahahah sorry wmdistraction seemed insane really sure make calmer pretty dramatic maybe ever fallen love,know always talking future weird even sure liked really wanted deep conversation,sister problem long time best friend recommendation simply tell said hard take,ya little careful dont always know feel people right away difficult ruin perfectly good friendship least purposely dont date friend,recently dated pretty sure ya chemistry amazing think work people willing work thing think though pretty powerful,completely honest making feel best guy friend constantly telling give space bossing people around much etc trust,met guy pretty sure well certain way reminds mom also met party extremely charming funny thought,said woman could dont get wrong friend lot people actually arent confident know met saying,dad could never really heard two type close friend something,interesting question typically best girl friend either best guy friend though also good girlfriend,oh totally gift act service always try touchy feely say nicer thing actually make plan realize hard talk,hmmm would look mom possible lot time p pretty organized people normally consider j fact j,dad also loser quote wicked queen yes oldest oldest full sibling half sibling step sibling cousin think people around definitely,mmmm totally agreed except course like cheating mean lying abuse dont think anyone want relationship j mean everyone,last year got really important class whole semester hell begin started failing one test another got sick friend mine died etc got,ya interesting love helping people want help someone need wary relationship dont pick people want need fix,wait sure one find plus find like hobby would give better connection guy friend met music female,agreed apart ifp also easiest talk mom one one best friend talk anything one best guy friend one,make better person around sometimes intimidating judging organized perfect know one feeling,attraction could best relationship personality relationship thing opinion incorrect mean dont know anyone end marrying,feel like time someone telling u bad side personality type little exhausting explain thing skim,hmmm interesting question well term future prediction try make usually wrong think relationship really take constantly,oh change yes agree scary scary thing obviously change anyone something like tell something learned child,ever consider maybe act confident confident example fake confident make new friend date someone,oh man sometimes wish could grab world smack head included wish posted forum get lot response,extrovert spent life depressed definitely get area fun feel like going saying point anyway,add onto remember woman love confidence men even dont think good enough fake even little likely draw,yes agreed lantern usual really dont hold score board favor done hold score board favor someone start notice,suppose depends definition cheating opinion cheating intentionally sex someone partner kiss prolong period time,gain energy work yes like dont something get sort depressed upset mean dont like relax time time really like getting thing,like anything super close friend really one tell personal stuff may able add something became close immediately,pretty much anything paper work bill housework etc long need done want done feel really compelled get thing done get done,idea behind best match teach u le harsh teach stand walk marry n,actually biggest problem friend doesnt stand ever upset something either ignores disappears really solving problem,experience best friend date actually open around anyone else would say probably work best,yes temper really problem best friend went round round circle year messing would fine suddenly disappear would get worried,interesting sister imagine probably end child one two u get along occasionally simply difficult,arent many men ask guy friend would like,ya doesnt sound like one try controlling critical also may introvert,move live present past waste time holding onto something nothing however may look like hold grudge give,ya agree typically harder time emotion trust know u well open mom always telling emotional person even know one,would probably say never encountered either part life family definitely bully friendship constantly one getting everyone,think depends talking situation talking people dont know well situation small talk frivolous conversation normal,ya would agree although grew house girl girl happen nfp still tend get along guy girl lot better,hahaha definitely spent good part year extremely confused hurt friend quite honestly idea thinking feeling
ESTJ,mausi girl awesome reading really hit home many way especially since daughter alot like well related,ahiko dead many thing say gonna let read thread get laugh crazy personality type really tell much u,personally think contol issue come needing stability security feel like controlling whats going life make u feel stable secure,awesome read complete opposite overcome difference make great team make complete person,ahiko thanks input opposite together definitely struggle said would boring somewhat,sound like typical lol romantic sweet let someone else call shot yes definitely compromise alot dominated,tissa sorry know going love suck sometimes get feeling mistreated emotionally true imo stand ground,sj nf relationship challenge growth filled relationship ever sayin,confident,agree wicked queen always question people motif well maybe compliment sometimes make uncomfortable believe compliment genuine lie say,get nerve well think negative thing see others know irritate blunt arrogant single minded name,thanks guy input ahiko noticed post trying figure type guy thought maybe tested,ahiko wait hear,garmypoo yes talked used make joke jim carrey cable guy lol think funny anymore though say tried,sure post somewhere combination relationship want look long experience combo since many probably,thanks new know inform,working hard f function got work e function hehe,work new forum thing difference make,like guy make little comment day gonna later put mood like anticipation course high sex drive always ready wish,wheelie idk thats one thing love outgoing almost half introvert though like talk people check line meet stranger,,watch anything mostly reality stuff like singing competition probably musician honestly watch nearly every reality alot gotten upset,dreamon think awesome understand seem make unlikely combination work relationship easy yr,used married definitely remember emotional outburst early part marriage would sometimes get physical think alot young,feel try really hard please relationship get return get resentful normal thing,thinking thing last week course since thursday much stuff get done haha,sure talk show would get irritated u lol,quite obsession tv one lol,gonna make quick took sleeping med pardon misspell seem weird lol far communication talk anything sun,kilotay loved last paragragh communication true feel softie compared alot especially male need lot affection attention,pretty well developed would like know ask away open book,wise girl daughter would make proud go girl,agreed,sorry trouble struggle like said intense passion something never would hard,read fascination people wondered obsession tv might something,hahaha fall asleep tv usually adult swim,thanks guy always way ever since known deal unless really needing attention,king procrastination,common thing obsessed tv lol,girl friend married well make better pretty close gf well hanging girl alone sure want hanging,would stop responding likely would war personally confrontation hate conflict mind could blow,agreed surrounded love love,love closest friend totally get get,guy love hang girl love hanging guy really like friendship girl,hey sweetie got pm reply back posted enough wanted know got bet mom feel pain huh hahaha,rofl new thought quoting violetta sorry gonna try hehe,relationship hope end way scared difference gonna get best u live together though sad,agree progbot relationship please know difference cause issue recommend read s recommend book,rofl prefer red wicked queen analyzing wear sometimes imagine family feel hehe,hey sweetie got pm reply back posted enough wanted know got bet mom feel pain huh hahaha
ESTJ,hey queen welcome back,yes coworker favorite reason also old roommate would killed next door tongue,appreciate best luck finding,actually never able pick one took test first place,took inventory quiz scored combo visual auditory visual auditory kinesthetic poll option tie,already,guy really check comment hilarious,would like chose ala exclusive choice three choose federalist liberalist academists government order maintenance right,cannot agree cut two people life cut cared much got burned cut protect hurt honestly care,disgusted made experiment someone feeling life say care yet willingly manipulate emotional state,clarification purpose mind saying say,tell difficult frighten intimidate,learned huh first introvert lived took time figure read beginning think steamrolled lot decision,shared dorm apartment two year difference think got along well never fought still good friend day particular,insecure,excuse never called mess wrote mess messy thread need quickly victimize fine however please,haha working problem,first got page jumped nearly quit right serious got juliarhys summon entered intention helping spent nine page,one perfect sound like treating well getting tired naturally act never change still satisfied husband,first second wickedqueen reading letter thinking fine fine fine fine got last two line turned hold care,car charcoal colored shiny,could possibly bad sign,advice situation student teacher client give teacher want want give already said know best way score well,late might list already certainly mine idiotic comment thread edit oh badly need clarification referring mnis sorry nothing,asking want one need recommendation wrong forum honey,share close personal connection small group people among handful word cut core past statement,hm wonder bookstore taiwan mainland china fly often enough keep eye,ah liked ronin naked traveler sound interesting definitely check book,strong ni user little prince antoine de saint exup ry classic met anyone like recommend book s life pi challenged,individual think,ever say ignore exact word go way concerned fawn change normal behavior different level familiarity depending,help acceptable answer go way concerned fawn way feel like displaying equal amount affection,guilty relationship unbalanced unbalanced end,animal viscovitz alessandro boffa lost last certainty finally found recognize life,laugh joke think funny laugh thing find ironic laugh outrageous behavior laugh good comeback disgusted physical humor clone,s humor enjoy,quite aware father practical joke aside surprised alike sense humor,still stuff though probably respect enough messing thing expected reciprocity room fun time place,anger took intruded privacy took something hid gall laugh,dicking around personal stuff,choose well adjusted mentally stable one know situation hesitant similar hobby background ideal ethic,absolutely want know exactly much time left think roll make sure paperwork order talk everyone care quit job maybe travel,best friend blast playing intramural baseball basketball sometimes go together get food really team sport golf jog,kayness missed point saying proposed solution guaranteed work agree hell love cooking tell get back,unless notice sudden passive aggressive behavior change good luck aftermath surely need forget got option like sending cooking,often pulled play count finding friend sit next people think seem interesting talk one sit next join,yes remember glad found helpful friend equate silence distant speak quality time nice send text every let,love language quality time strangely enough touch big one one interaction done right undivided attention love giving love getting,product environment father raised time norm still discussion argument resistant becoming gentle,honey criticism revealing clothing work considered ridiculous unprofessional reasoning liking respecting people fixed belief
ESTJ,yeah apparently joined nov haha bit free time decided resurface,thanks guy happened chat function way site grown much much going around,everyone site first came existence still,confident many different way general want confident first know accept never going project positive image,yes shame try fun loving person little way tongue,yeah unless see need try new thing even get overwhelmed given many option lol,must say drive crazy sometimes three buddy confirmed s talking experience following thing differ,stay day work accomplish without drinking coffee redbull sort like playing sport body pump energy,take drive something ordinarily want give order bos bos tell something obey,wow since made thread anyways drunk bored go tested want guy guess type based tell,favourite pain gain live,first hate use cell phone ever get contact cell phone second cell phone save life,oh wanting control everything want control everything around u need control life example need,art good mate however unnecessary wasted high school year going art wish could done something else know art would done much,thank,suggest assigned reading problem class make note class review note class forget learned,goal life hopefully gain insight want high paying job support current future family also want power fame order must work,short come conclusion,haha wow know think brother problem friend told far anyways interesting think hangout sometime,satisfied,indeed suck stay house summer thing mate much older many thing illegal,summer year old brother never left house say friend bore watch online video draw play guitar insight,place black furry thing think cushion kind bed sort need need place everything need bed take,nice another korean glad see,,think people would stay join kind forum informative rarely use internet entertainment use mainly research,agree lance attractive,yes think stupid judge someone interacting person,wow know missed guy happy however normally spend lot time computer home summer hope see two chatroom sometime though,say know s,one buddy work told fucked mind said would waste money got work early bought worth food top normal lunch,excellent honest lacking forum day tongue,unfortunately,hey anymore stick around,similar treebob think next concentrating something,got right,introvert since need lot time alone,well waiting go apply job,make thread general psychology general discussion forum lot people see,position wish apply dear hiring manager graduate university honour degree psychology initiated coordinated evaluated various group activity,right well usually want make sure address qualification match qualification listed job ad covering letter first state want,job applying listed requirement qualification,ah thanks clarification answer question typically write subjective opinion try hold write generally objective even,know want know need break studying go generally type long post generally type short post perhaps matter,said somewhere still think mbti mainly represents dominant function cannot one type prefer one type one lecturer said,alright well fault blame test,would anyone dishonest one self want know kind person using various test like mbti would want honest otherwise,haha exactly guy said answering one question ah yes thank question made think grade class something along line,well thing prepared either like anticipating question really prepare anything say winged everyone question except first question,long take answer question interview prepared need pause sentence think going say next understood
ESTJ,wrong actually sx sp might accept whole life lie please click poll save politician click cost,picture mean,seriously french guy,rascal,dude dude aware user wearing avatar,french guy,cigarette tea cup choose picture box cigarette buying,voted one dislike distant reason really remember oh wait coming back anyway know disliked point rude,rip teardrop everyone must cry,f back know,,wellsy lel,,find new picture satisfactory even though one inserted would rate star think rate avatar reading hemopneumothorax,cheeky male pirate missing instead picture crude letter saying lawyer avatar indeed special avatar banned since,crazy mofo always self love,,bfs gfs,,worstbreakuplinesalltime com,sorry deleted number phone replaced grandpa number grandpa speak english k hi,,guy spending time mum think working late hour,noooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,,,raiding ship caribbean sea deepest apology,playing scum drunk nde est la coca na antonio,qu estas diciendo hombre soy tu se de la droga fumemos un cigarro,skletal weytig,,ask mr meepers give panty stole washed laundromat sell already,,people refuse buy sexism disguised feminism,hybrid cool stuff tell,say threesome r forum fine long front everyone wink save r forum action could save life,cuz ppl sex r thread could change could believe,cuz vampire also thing people drinking blood rose hanging mate day moved louisiana joke kid,nah,nice shade photoshop blue,blonde werewolf denied lawl cry tho still might something,nah,human witch psychic fairy vampire werewolf shapeshifters cat hybrid invited drink cool none shit beep,point,probably op always sounded like every girl san francisco,post count thread say apparently people ghost,,,suddenly need red wine suck tell,
ESTJ,asking said believe factual asking thing say promoting way relevant helpful proven real life wishful,see two video understand best life,noticed ten test internet test enough question put enough thing classify differently probably,note partially described unless sleepy read well passive aggressive behavior wikipedia free encyclopedia passive aggressive behavior,maybe young rebellious see end every person imperfect hence perfect logic exist situation especially social situation hence,thing described something except criticizing authority concept seems like butthurt something said depression,either stubborn recent trauma caused getting screwed jerk idea weird type get come controlling,friend draw touhou related stuff make paint warhammer model,unless someone full really claim know everything try pas life experience kid consider necessary mainly,also answer question since op seems weird idea freedom aka idea xd leave emotional stuff mother since ideal partner would,farmer boy material ruthless aggressive try mix viking society christianity also little patience athelstan bullshit behavior,sorry question probably ask even nobody else would get ask anything guess react close people ignoring react see,ragnar quicky guy grab beard adveeeeeeenture lagertha leader critical others complaining others mistake good seeing beyond people,anybody really appreciates understands s irl internet say let cruel think better,ok well already wrote make emo ish liked back person truly interested,list make long say much time get pissed could like get pissed moment laziness sloppiness people think feeling,sure read spam load text try find grip although interest explicit question admit might everybody whatever good,even talking,nothing like bit trauma early childhood mutilating someone based forum tell go sarcasm,assume mean grip depression bad state mind since assume everybody know obscure new english expression even maybe never heard life,important much iq digit point wasting time,likely despise people simply unable unwilling accept logic people people different way thinking insist feeling,usually take month right person try tell person directly feeling go well type life long relationship,clearly wrong perception e mean mean need someone get energy anything positive negative anything,depends fear mean danger body mind become hyperactive try get danger idea related personality human survival instinct,question really probably right forum waste time anyway since barely serve purpose mass shitposts shitthreads anyway,nevermind sorry misread topic belied meant yo tired,edit,come weirdo bucket,still year old definitely post time forum like one since year old without parental approval rebel edit,wonder jewish s think joke crucifying jesus mary funny,see parent spend time,often seeing people happy good food group activity sometimes seeing people compliment lot funny romance rarely seeing people unhappy seeing,personality alone guarantee anything forgot add trigger warning,clearly page fact least case never tend reinvent wheel rarely try guess people might instead read much,obviously generalizing since leader relied intuition much s much experience knowledge tend muh logic even flawed least,matter stay focused matter love fear feeling change mind stay clear season pas stay true stay trouble come one,relevant show intuition fail one point instead going fact people insisted intuition serious consequence since head,course germany lead stalin would toast along mr churchill,hah p tell open minded far sighted napoleon invading russia caesar stabbed stalin real life fiction,type best friend highschool great guy hypocrite like criticize sometimes like criticized avoid argument cost,life uh find way welcome,fun another point view,object view life prefer neutral polite necessarily people saying go throw diamond pig even politeness still got,yes nice people like back stronk logic mlady s make point known certain situation go back cute nice case male,technically much personality fault intuitive guess would take mature person get disappointment outcome,know type well logic usually think situation type love even tell person angry happy unless express openly let,accurate describe relationship,giver perfect someone said sad drink juice entire life wish really tempted give take,default problem s people debating since know probably agree seems logical thing even disagree
ESTJ,negotiation style hm manipulative terrible understanding connecting people emotionally usually get want relentless want understand,well since thread resurrected first page mentioned together month love sure would necessarily recommend,sorry clear happens time time realize thing never connected like recognizing actor know seen,father mother sister get mother father lot common understand better,actual thing,definitely sometimes think feeler far one stronger trait reinforced nt parent meant point preference probably j though,fe one function still feel shaky understanding feel like huge gap knowledge read countless description read article asked,found tertiary elusive difficult spot least developed function dom aux essentially make think inferior stand direct contrast,hahahahaha love s get wrong know best friend world fact maid honor wedding one great,boy truth first s actually feature prominently movie show generally random side character quality everyone decides must,emberfly find task oriented love checking item list yes thousand time yes feel sense accomplishment job well done,wrote post back feel free read would willing answer,pilot long thing happened family sister goldfish parent ended buying tank filter water treatment sort stuff,dated currently amazing,goal summer well internship learn lot learn cook read rather large reading list know already make whole thing want,ok throwing guess aside hate know feel like would need observe interact pick call trigger,define play account would like learn game time college boyfriend game prefers support,ok fan s either honestly feel like would need incredibly mature well developed feeling side get along feeler mostly seen,going finishing project studying exam feel pain,put line secure quadrant,well definition name several way stereotypical sporty laughable programmer dad programmer whole family,wow s crawl woodwork start clubhouse,far agreement fit everyone know type longer sure agree question comment candor erudite,oh goodness yes please verse calvin hobbes password replace instance tiger brilliant totally cool,first thing thought password calvin hobbes clubhouse,first real crush middle school high school simultaneously find se incredibly attractive unbelievably annoying generally initially attracted se fi,sure would say fe best comforting best person ever known comforting people sister always seems know appropriate response,dad mom si interesting family dynamic dad actually surprisingly particular thing like thing run certain way,borderline e closest friend s s one s boyfriend one cousin practically sister closest,male friend come across fitting stereotype pretty boy programmer interest audio video graphic design stay home lounge,boyfriend best friend year entering relationship length friendship decision knew loved month,wondering improving efficiency figuring make thing work ne te,wow deep complicated question based much type mean individual personality background experience family friend said biggest two fear,like intelligence huge programmer interact type people basically anyone else love love mind analyze see thing fix,honestly flirting incredibly open honest like serious letting part life sound like talking,kanren far everything said make perfect sense dad mom ex boyfriend basically go,joined fascinated mbti spent hour upon hour researching applying finding would consider pretty well versed helped many,first would like say find incredibly annoying every single time someone post asking help interacting everyone automatically assumes must,long time since taken test get often pretty sure disagree though,likely could spent lot time reading,theoden definitely going argue hermoine several friend confrontational generally nearly outspoken hermoine,make think dolores umbridge vernon dursley s,think fun think mentioned mostly struggle relate befriend roommate really liked know,two female s family alone seem huge percentage nt family begin also know least one female college possibly,think group np love s sister one fun deep sweet etc like s watch distance smile cute ness know,mostly agree epicyclic except think definitely include reasoning explain might confused received seeming green light telling,type cute like idea express completely loss word around want offensive,yes absolutely mean first thing think presenting idea detail required possible problem overcome always feel like,actually new year resolution would interested hear work feel like every time try much spontaneous whatever everything,think point using jesus role model become immortal god like meant imitate character think term character pointless
ESTJ,know username avatar originates,speak arabic english french learnt three language time growing fluency level different one english language best since,personality type get full developed age according behaviour analysis tutor told master child reach age personality,agree everything starquill said connection strong care enough relationship committed spends lot time effort planning,yeah swoop steal thanks exterminate hail penis,low blow right surprised lasted long forum around day new record,active perc including none woman far seen contribute question albeit penis glad say many people think,joined site moved different country working full time studying part time resulting time socialise perc help regard,open book joined perc finding,posting site around day honestly surprised much actually enjoy online social site seen around,good thanks nice meet,law science engineering student sure degree structured u presume u,follow specification religiously position every type measuring utensil,role regulated institute chartered secretary administrator icsa branch throughout europe cayman island bermuda canada australia new zealand singapore,copied description wiki company secretary ensures organisation complies relevant legislation regulation keep board member informed legal,thanks company secretary corporate secretary quite active since holiday working starting tomorrow unsure active,go ahead make decision today damn painful type angry,oh see mine also book called name wind happy,france ask username two flower french happy,speak arabic french obviously english,welcome recently joined really enjoying personality cafe sure,welcome recently joined really enjoying personality cafe sure,love cooking baking hobby mine although get frustrated instruction example say cooking time take minute minute cooked even,think come priority since xstj reason busy work related obligation already plate personal relationship come last especially,fellow thought add word normally reply thread like bored home moment contributed interesting thread,facebook certain group friend uk elsewhere use whatsoever still thought people friend list,thanks pinina glanced read post interesting thread glad contribute enjoying site lot response mirror,always time early get really annoyed someone late like know plan day like someone say know tell,going tell secret everyone website okay go done people done mean choice wrong,lonely mr lonely nobody lonely mr lonely wish someone call phone,happy new year curious people ireland,surprised got since test previously year ago,use personal experience use hate school studying general preferred sport time parent hired several tutor give attention respect,think one kid seem care authority life little could someone want learn take something,ah man suck p,one closest friend say exterminate enjoy around since get serious judging environment anyways,like efficiency,think tend rebut say see get rattled find amusing secretly like,deal ninja,hate repeat ignored inevitable outcome obvious therefore assumption ignored several time effort futile would wait,mephisto pheles took official myer briggs test accurate fit give look thanks,little birdy told place rare breed web apparently,undergraduate degree law currently studying master degree management corporate governance,quest understanding certain thing see whether fellow facebook tend go deleting spree every month since hate fake,typical conversation arranging gathering friend phone friend b mate free lad drink game monopoly friend b sorry tired,agree said buy clothes retailer people shop river island topman h tend buy eton shirt loake shoe louis copeland suit ted,say extremely bright family think family biased work hard learn thing although good memory sometimes remember full conversation,thanks,read since somewhat reserved meeting people first time although maybe cautious since lot people annoy,feel special p although beginning question something real world shocked
ESTJ,lol romantic f stuff enjoy space,rarely get angry agree wicked speak mind sugar coat working sugar coating thing friend tell still pretty transparent laugh,something funny go along dating starting buy random gift think quite understands go functional thing rather random toy,want new computer macbook pro organizational material massage gift card tend like functional thing careful generally buy,xstj governed right wrong highly unlikely get violent unless could rationalize really well one know anyway,think statistic make population personality type certainly majority generally respect competent,drink chill need battle,problem letting whatever want ambition goal like well best gonna get,feeler think likely get jealous feeler thinker instead jealous channel desire tangible goal instead stewing,come battle prepared good,sj like reason logically reason anything win,let tell negative connotation come along online person percieved stuck bitch tell everyone true,like general ex boyfriend thing bothered kinda boring predictable exciting creative let whatever,best friend roommate entertains hell kinda messy care appearance much drive little crazy aside,answer question irrelevant,one best friend extremely bipolar kinda schitzoid anyway experience paranormal guy know original abduction alien,closed minded,oh intelligent able respect treat others take care deal,used teach kindergarten sure run college university course much way get angry people disrespectful professor usually one set,tutoring roommate math major school math tutor always use womanly charm nice boy class getting better grade,going sailor year,inefficiently see anything inefficient mean actually trying lol really work hard get thing done get done way want,yeah one hippy negative connotation use see people lazy cracked doped care anything relevant society war,funny even ask,pout realize throwing fit going nothing help current situation get as something pouting,sound like utter delight,oh one time month turn f go completely crazy go homicidal maniac rage drinking though,happy drunk e come nicer usually,lol cared situation much color hair though though,get annoyed well make think people alterior motif mean want hear compliment people deserve people care really,think find guy would girl usually manager boss business sport thing nature enjoy rule standard live,let family stay messy room much pride hold tell hire someone clean house lol,self control younger used think incomplete prowl find half abusive relationship,play depression thing tell want hear right depressed think spend time thing make happy play dumb prepare,appreciate think find humor thing ordinary thing people find norm instead getting upset thing laugh,yeah lol love something permanent lot f decision commitment look like real empathy especially u strong,sense humor dark dry sarcastic yes find humor thing normal,late want kill people say going somewhere show time waste time,lol problem brain hormone fight,yeah might something,let rephrase become le controlling attract le complacent people think wake said best passive let see one go,p rowing love rhps,lol well adult child financially stable think part leaving legacy child team sport build character good sense,accept,need change way thinking control problem attracts let whatever want mean finding le complacent men easy accepting mentally,post picture exactly talking ape,talking mom sister today talking last guy gone really complacent think purpose,money make life lot easier raise family especially single parent mother raised doctor allowing go best school money could afford,think many people agree true love really true skeptic little faith relationship last forever raising lasting legacy hand,know enjoyed
ESTJ,happy birthday violetta u started intellectual broke huge wall introversion n popped true u know one write,welcum lek im sure ull learning lot awesome site ull meet lot s u relate fun p,p,wow queen refuse luv ur artwork specially st,dear bff id like say thnx u hav given n u hav ever done thank u luvs u,wooooow think extremely true abt ppl call lazy n feel exactly way u feel think studying waste time wow n get energized wen hear,chazzmann thnx posting n sharing ur amazing artwork love sixth one awesome,getting sad depression ya get depressed like others ive seen ppl wen r depressed dont really feel way almost every n wenever im sad tell,wow violetta u know actually one fav really like n reminds awesome day way u wrote n sitting n reading n really touched,hey wondering wat actually feel like wen u get depressed dont really know cuz dont think hav actually depressed wanted know feel n,well hav something regret abt lot might seem pretty stupid others day make huge difference life school day n student,miriam seriously hav word describe wat u hav written n even picture u hav taken ive read poem three time already actually really hard feel poem n,really like idea behind really thoughtful,wow kexx really like ur pic really cool n funny,hey ozziechick guess u shud post,hey kwaran really like last one pretty cool,r perfectly fine rnt tiny box,thanx well post picture guess problem ill try thanx,thanx mendi really nice see ppl posting seems interesting maybe cud try thanx,thanx kwaran really nice one,mrgreendots wow ur really gud think even like spider one well thanx sharing looking forward see u,,hey s r interested thought wud b nice u guy cud post pic ur artwork thanx n hopefully ill try put pic artwork,silentscream awesome pic man proud,think thing true n truest ppl force idea u well thats wat think,tum kitna annoy hoti ho yeh mujhe pata hai likn talking abt s tumhare ba hota main aaj tak shaid hi zinda hoti p,might b know upset s l,s eye dreamy mysterious eye show depth well wat think,even imagination weak copy easily p,yeh nahi thair sakti u know well p,hey s wanna know hard u guy hide ur feeling ppl cuz hard hide feeling bff say transparent wanted know,thanx zech think shud share sm maybe teacher actually best frnd think freely say expect help best,hey guy b day let make bit special today violetta b day help making special simply wishing thread hopefully shell,struggle understand thing sometimes hard understand tiniest simplest thing feel dumb hard understand meaning behind thing,think thats true,ppl act fake annoy u guy,hi wanted know abt s wanted know wat thing wud annoy thnx laughing,thanx atleast wont worry,wow ur really gud dont stop writing ever u lot ur talent laughing,every dream time sleep dont remember dream hardly ever remember dream remember like around per year bad,love painting even sculpting find hard write laughing,dont u share ur song laughing,hey guy wanted know s interested art wat type art laughing,important love becoming wat want living way want health rest laughing,actually hav really bad memory usually dont remember stuff ppl dont really know abt much c,never never never hide feeling inside tell feel wen look specially best frnd always know exactly wat im thinking spot,wud probably stare lot wud laugh everything even lame stuff,laughing thanx well know,well shut eye forget abt everything happening wen forget abt everything fall asleep dont deprive sleep even im tired guess,think sleep like f mixed
ESTJ,thought going active stopped going perc month,yes love sarcasm,believe cheating lost feeling person straight say need head go something behind person back whoever cheated,say flirt easily talk anyone including men others might perceive flirting think guess call clueless flirt talk,inner reaction definitely keep everything write almost never vocalize feeling b reaction others scoff avoid conversation feeling,almost sure like going forum though bit inactive lately day packed end going online bit respite,weird live facebook tend use social networking platform build relationship know probably useful future,true social networking encompasses business networking well never specified friend people business would say build many weak tie,think rare practically nonexistent,remember sigh childhood,agree suit wink,agree fully never know person met know someone owns company pertains field specialize also help broaden area expertise well,experience creative,yes actually month half cutoff generation literally belong generation born mid nivember mean either really young,nah unless whole society ooh wifi important need connection earthling show,work matlab right,image idea satan supernatural satan awesome paradise lost though favorite character,toast nutella rip ferrero,much frustration trying log retrieving password countless error saying email registered finally found account deleted l l well,connection connection connection people meet take place field expertise,love dog period,whatever happens happens mentality worst thing always happen best u believe whatever happen best make life,exam sometimes way hard majority especially topic something never dealt class,second year undergrad student majoring physiology neuroscience one major minoring mathematics philosophy goal graduate head med school,given horrible sense direction would tell google map accessible phone,met right people,check thread surprise new photo hot well life th sur,literally part cut generation z relate generation defining book tv show movie book harry potter hand even,reason see radical feminist online say thing say real life going get hurt feminist anti feminist,pretty damn accurate scorpio pig fit almost everything thing really agree tend welcome conflict instead avoiding,woah one spot,actually talking problem act cold talk behind back saying irrelevant stupid problem may tend cold tend,spent entire night cry front friend telling thing worried stressed life,choose touch touching give pain pleasure burn extreme cold hot weather skin injury etc sight let see world hearing allows,general surgeon anesthesiologist,thanks,oh god sorry someone hopefully everything better,absolutely adorable,haha trust none worth money lost year relationship talking quote wow student debt ok elsa say,jewelry form really anything significant value caters materialism guilty buying jewelry even bit materialistic honestly,see people need refrain jewelry lol u nothing,sorry hope find deserving girl future wait question could returned necklace,ok make choice think right thing look retrospect think necklace token ex sharing least memorable experience,cute glad awesome valentine last year wish fiance many come,went awwww entire time reading wish u culture geared toward valentine day inclusive thing involving family friend rather exclusively,wow ex dick ok many year ahead u create better memory hopefully replace bad memory valentine day feel though nothing beat,lol wow anyone reading thread probably end hating nice anyways characteristic believe people see,lol little even surprised,understand need show robot basically human,think type fuck say
